Source,Target,SourceLabel,TargetLabel,Name,Name_From_Loc,From_Loc_Address,Type,Subtype,Travel_Frequecy,Directory,Date,Travel_Cost,Capacity_Persons,Notes,X
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q36405,Brechin,Aberdeen,,Robertson's Black-bull,head of Leith walk,Coach,Stage,150,postofficeannual18241825edin,1794,2l 2s,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q36405,Edinburgh,Aberdeen,,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q36405,Glasgow,Aberdeen,,illegible,,Carrier,,uncertain,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2014221,Edinburgh,Aberdour,,Duncan's,head of Guard close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2014221,Edinburgh,Aberdour,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q319566,Edinburgh,Aberfeldy,,,,Post,,150,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010412,Edinburgh,Aberlady,,Carlisle's,head of Canongate,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q111444,Edinburgh,Achnacraig,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Adie,,Duncan's,head of Guard close,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q654216,Glasgow,Air,,Mr. Bain's,"Dunbar's closs, Trongate",Coach,Mail,300,glasgowdirectory1799unse,1799,12s,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q654216,Glasgow,Air,,Paterson's,"First closs east from Candlerigs, Trongate, At Allan's, Candlerigs, and at Miller's, Kingstreet",Carrier,,100,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q4698616,Glasgow,Airdrie,,Stirling's; Robb's,"Spoutmouth; Loudon's, a little west of the Spoutmouth, Gallowgate",Carrier,,150,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009331,Edinburgh,Alloa,,Lawson's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009331,Edinburgh,Alloa,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1009331,Glasgow,Aloa,,Miller's,"nearly opposite the Potatoe Market, King's Street",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q448127,Edinburgh,Alva,,Campbell's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q564495,Edinburgh,Annan,,Paterson's,Grass-market,Carrier,,25?,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q564495,Edinburgh,Annan,,,,Post,,350,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q570401,Edinburgh,Anstruther,,McIntosh's,Blair's Street,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q570401,Edinburgh,Anstruther,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1404409,Edinburgh,Appin,,,,Post,,150,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1404409,Glasgow,Appin,,Gow's,Argyll-street,Carrier,,24,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q630668,Edinburgh,Arbroath,,,,Post,,350,postofficeannual18241825edin,1794,4d,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Aross,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q758623,Edinburgh,Auchterarder,,McPherson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q758623,Edinburgh,Auchterarder,,,,Post,,150,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q758624,Edinburgh,Auchtermuchty,,Morrison's,head of Dickinson's close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q654216,Edinburgh,Ayr,,,,Post,,350,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q654216,Edinburgh,Ayre,,Campbell's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1010220,Glasgow,Balfron,,Provan's; Blair's,"Mrs. Harvie's closs, Trongate; Candlerigs",Carrier,,100,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q17569497,Edinburgh,Balgon,,Keppey's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3997904,Edinburgh,Ballantrae,,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q54809,Edinburgh,Banff,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3778459,Edinburgh,Bankerief,,Hay's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q806906,Edinburgh,Bannockburn,,Lawson's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q4946744,Edinburgh,Barthwick,,Landel's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q810794,Edinburgh,Bathgate,,Clark's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q810794,Glasgow,Bathgate,,Colquhoun's,"Gallogate, north side, a little east from the Bridge",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q523335,Edinburgh,Beauly,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Beild,,,,Post,,350,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1013620,Glasgow,Beith,,Smith's,opposite the Tron Church,Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1013620,Edinburgh,Beithbervie,,,,Post,,150,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q504678,Edinburgh,Berw. on Tweed,,Keppey's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q504678,Edinburgh,Berw. on Tweed,,Hay's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3134016,Edinburgh,Berwick,,Drysdale's Turff coffee-house,No 1 St Andrew's street,Coach,Stage,350,postofficeannual18241825edin,1794,1l,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3134016,Edinburgh,Berwick,English Mail,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012054,Edinburgh,Berwick North,,Keppey's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012054,Edinburgh,Berwick North,,Hay's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q3134016,Glasgow,Berwick,,Old Shipping Co.,east side Queen street,Carrier,,150,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q3134016,Glasgow,Berwick,,"New, or Union, Shipping Co. ",St. A square,Carrier,,"300 (""almost every lawful day"")",glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3250089,Edinburgh,Biggar,,Archibald's,Candlemaker-row,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3250089,Edinburgh,Biggar,,Hill's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3250089,Edinburgh,Biggar,,Campbell's,Grass-market,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3250089,Edinburgh,Biggar,,,,Post,,150,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q3250089,Glasgow,Biggar,,Walker's,"corner of Charlotte Street, Gallogate",Carrier,,,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2256,Edinburgh,Birmingham,,Kendel's,Hist at Hogg's Bri. Str.,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016707,Edinburgh,Blackburn,,Scouler's,Grass-market,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q881168,Edinburgh,Blairdrummond,,Ogg's,head of Horse wyne,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Blorgan,,Paterson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q896424,Edinburgh,Bo-ness,,,,Post,,350,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3778262,Edinburgh,Bonaw,,,,Post,,150,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q4093370,Glasgow,Bonhill,,Drew's and Gow's,Argyle Street,Carrier,,100,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q896424,Edinburgh,Borrowstoness,,Clark's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q990845,Edinburgh,Botherton,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q51906,Edinburgh,Bowmore,,,,Post,,50,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q45848,Edinburgh,Brechen,,Duncan's,head of the Guard close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q45848,Perth,Brechin,,Robertson's Black-bull,head of Leith walk,Coach,Stage,150,postofficeannual18241825edin,1794,2l 2s,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q45848,Edinburgh,Brechin,,,,Post,,300,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011584,Edinburgh,Bridge-hallkirk,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q991350,Edinburgh,Brocksburn,,Clark's,Grass-market,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3997390,Edinburgh,Broughton,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011521,Edinburgh,Bruntisland,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q13581703,Glasgow,Buchanan,,Paterson's,"First closs east from Candlerigs, Trongate, At Allan's, Candlerigs, and at Miller's, Kingstreet",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q998625,Glasgow,Buchlivie,,Paterson's,Trongate; Candlerigs,Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011521,Edinburgh,Burntitland,,Pentland's,head of Bell's wynd,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q31083952,Edinburgh,Cairnmoor,,Peddie's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1014066,Glasgow,Callender,,Arthur's,"opposite Black Friar's Wynd, High Street",Carrier,,24,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012490,Edinburgh,Campbeltown,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q5028549,Glasgow,Campsie,,Freeland's,"High Street, a little above Duke Street",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q15207592,Edinburgh,Carlingwork,,Paterson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q192896,Edinburgh,Carlisle,,Kendel's,Hist at Hogg's Bri. Str.,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q192896,Edinburgh,Carlisle,,Landel's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q192896,Edinburgh,Carlisle,,Robertson's Black-bull,head of Leith walk,Coach,Stage,150,postofficeannual18241825edin,1794,1l 10s,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q192896,Glasgow,Carlisle,,Mr. Bain's,"Dunbar's closs, Trongate",Coach,Mail,300,glasgowdirectory1799unse,1799,2l,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q192896,Edinburgh,Carlisle,,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q192896,Glasgow,Carlisle,English Carriers,Henderson's,"north corner of the Bowling Green, Candlerigs",Carrier,,150,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q192896,Glasgow,Carlisle,English Carriers,Scott's,Brunswick,Carrier,,200,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011389,Edinburgh,Carluke,,Clark's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011368,Edinburgh,Carnwath,,Purdie's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011368,Edinburgh,Carnwath,,Campbell's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011368,Edinburgh,Carnwath,,Hislop's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011368,Edinburgh,Carnwath,,,,Post,,150,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5046685,Edinburgh,Carron,,McPherson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Carsi Hallaw (?),,Hislops',Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009254,Edinburgh,Carstairs,,Hislop's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012300,Edinburgh,Castle Douglas,,,,Post,,350,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3666100,Edinburgh,Chance Inn,,,,Post,,300,postofficeannual18241825edin,1794,5,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010098,Edinburgh,Clackminnan,,Lawson's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q209142,Edinburgh,Cleghorn,,Campbell's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Clugh,,Hill's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1018874,Edinburgh,Coldstream,,Hislop's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1018874,Edinburgh,Coldstream,,Lawson's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1018874,Edinburgh,Coldstream,English Mail,,,Post,,150,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5145730,Edinburgh,Colinsburgh,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1249329,Edinburgh,Comlock,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q17797269,Edinburgh,Cornhill,,Royal Charlotte,"Robertson's Blackbull, head of Leith walk",Coach,Stage,350,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5176179,Edinburgh,Coulter,,Archibald's,Candlemaker-row,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q25931010,Edinburgh,Covington,,Beddie's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010416,Edinburgh,Crail,,Rodger's,Blair's Street,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010416,Edinburgh,Crail,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5182801,Edinburgh,Crawford,,John Archibald's,Candlemaker-row,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5184920,Edinburgh,Crichton,,Hislop's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q639666,Edinburgh,Crief,,McPherson's,Grass-market,Carrier,,"""on 2 week""",postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q639666,Glasgow,Crieff,,Arthur's,"opposite Black Friar's Wynd, High Street",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Crien,,,,Post,,300,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012390,Edinburgh,Cromarty,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3307907,Edinburgh,Crook of Devon,,Duncan's,head of Guard close,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1969309,Edinburgh,Culen,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2424554,Edinburgh,Culross,,McCallum's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2424554,Edinburgh,Culross,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,,Edinburgh,Cumnathen,,Proudfoot's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010019,Edinburgh,Cumnock,,Brown's,Grass-market,Carrier,,"""on 2 week""",postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1010019,Edinburgh,Cumnock,,,,Post,,150,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1010019,Glasgow,Cumnock,,Miller's,King Street,Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011681,Edinburgh,Cupar-Angus,,,,Post,,300,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012047,Edinburgh,Cupar-Fife,,,,Post,,300,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011681,Edinburgh,Cuper of Angus,,Morrison's,head of Dickson's close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1012047,Edinburgh,Cuper of Fife,,Ferguson's,head of Kinloch's close,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q727520,Edinburgh,Dalkeith,,Landel's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q727520,Edinburgh,Dalkeith,,Hislop's,Cowgate head,Carrier,,350,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q727520,Edinburgh,Dalkeith,,Sutherland's,the cross,Coach,Stage,300,postofficeannual18241825edin,1794,1s 6d,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q727520,Edinburgh,Dalkeith,,Bell's,opposite Tron kirk,Coach,Stage,300,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q727520,Edinburgh,Dalkeith,,,,Post,,350,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q35,Edinburgh,Denmark,,,,Post,,100,postofficeannual18241825edin,1794,7d,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q3778259,Glasgow,Denny,,Arthur's,High Street,Carrier,,100,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011416,Edinburgh,Dingwall,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2020424,Edinburgh,Dirleton,,Cunningham's,head of Todr. wynd,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2020424,Edinburgh,Dirleton,,Carlisle's,Canongate head,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1235672,Edinburgh,Dollar,,Proudfoot's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5289674,Edinburgh,Dolphington,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016920,Edinburgh,Dornoch,,,,Post,,150,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5301155,Edinburgh,Douglas,,Proudfoot's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5301155,Edinburgh,Douglas,,Paterson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5301155,Edinburgh,Douglas,,,,Post,,350,postofficeannual18241825edin,1794,3,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q5301155,Glasgow,Douglas,,Allan's,"opposite the Spoutmouth, Gallowgate",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1923521,Edinburgh,Drum,,Duncan's,head of Guard close,Carrier,,uncertain,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q5309175,Edinburgh,Drumfires,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q652035,Edinburgh,Drumfires,,Paterson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q652035,Edinburgh,Drumfires,,Hill's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q652035,Edinburgh,Drumfries,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
